Month,Work Type,Year," Weighted averages of Construction Producer Price Indices",month Int,Date,Geographical Region,Unique_Key
November,Repair and Maintenance,2017,107.5,11,01/11/2017,United Kingdom,NovemberRepair and Maintenance2017107.51101/11/2017United Kingdom
November,Repair and Maintenance,2018,113.3,11,01/11/2018,United Kingdom,NovemberRepair and Maintenance2018113.31101/11/2018United Kingdom
November,Repair and Maintenance,2019,112.6,11,01/11/2019,United Kingdom,NovemberRepair and Maintenance2019112.61101/11/2019United Kingdom
November,Repair and Maintenance,2020,114.6,11,01/11/2020,United Kingdom,NovemberRepair and Maintenance2020114.61101/11/2020United Kingdom
November,Repair and Maintenance,2021,,11,01/11/2021,United Kingdom,NovemberRepair and Maintenance20211101/11/2021United Kingdom
December,Repair and Maintenance,2016,101.9,12,01/12/2016,United Kingdom,DecemberRepair and Maintenance2016101.91201/12/2016United Kingdom
December,Repair and Maintenance,2017,108.2,12,01/12/2017,United Kingdom,DecemberRepair and Maintenance2017108.21201/12/2017United Kingdom
December,Repair and Maintenance,2018,113.3,12,01/12/2018,United Kingdom,DecemberRepair and Maintenance2018113.31201/12/2018United Kingdom
December,Repair and Maintenance,2019,111.8,12,01/12/2019,United Kingdom,DecemberRepair and Maintenance2019111.81201/12/2019United Kingdom
December,Repair and Maintenance,2020,116,12,01/12/2020,United Kingdom,DecemberRepair and Maintenance20201161201/12/2020United Kingdom
December,Repair and Maintenance,2021,,12,01/12/2021,United Kingdom,DecemberRepair and Maintenance20211201/12/2021United Kingdom
January,All Work,2016,97.4,01,01/01/2016,United Kingdom,JanuaryAll Work201697.40101/01/2016United Kingdom
January,All Work,2017,102.6,01,01/01/2017,United Kingdom,JanuaryAll Work2017102.60101/01/2017United Kingdom
January,All Work,2018,107.1,01,01/01/2018,United Kingdom,JanuaryAll Work2018107.10101/01/2018United Kingdom
January,All Work,2019,111.8,01,01/01/2019,United Kingdom,JanuaryAll Work2019111.80101/01/2019United Kingdom
January,All Work,2020,110.7,01,01/01/2020,United Kingdom,JanuaryAll Work2020110.70101/01/2020United Kingdom
January,All Work,2021,116.5,01,01/01/2021,United Kingdom,JanuaryAll Work2021116.50101/01/2021United Kingdom
February,All Work,2016,97.7,02,01/02/2016,United Kingdom,FebruaryAll Work201697.70201/02/2016United Kingdom
February,All Work,2017,103.3,02,01/02/2017,United Kingdom,FebruaryAll Work2017103.30201/02/2017United Kingdom
February,All Work,2018,108,02,01/02/2018,United Kingdom,FebruaryAll Work20181080201/02/2018United Kingdom
February,All Work,2019,112.6,02,01/02/2019,United Kingdom,FebruaryAll Work2019112.60201/02/2019United Kingdom
February,All Work,2020,111,02,01/02/2020,United Kingdom,FebruaryAll Work20201110201/02/2020United Kingdom
February,All Work,2021,118.7,02,01/02/2021,United Kingdom,FebruaryAll Work2021118.70201/02/2021United Kingdom
March,All Work,2016,98.1,03,01/03/2016,United Kingdom,MarchAll Work201698.10301/03/2016United Kingdom
March,All Work,2017,103.6,03,01/03/2017,United Kingdom,MarchAll Work2017103.60301/03/2017United Kingdom
March,All Work,2018,108.5,03,01/03/2018,United Kingdom,MarchAll Work2018108.50301/03/2018United Kingdom
March,All Work,2019,113.1,03,01/03/2019,United Kingdom,MarchAll Work2019113.10301/03/2019United Kingdom
